A.35
Section C Ideal Gas and Liquid Heat Capacities. Cp/R = a0 + a1T + a2T2 + a3T3 + a4T4.
CpIG and Cpliq at 298.15 K, J mol-1 K-1.
No.|Formula|Name|CAS #|Trange, K|a0|a1 X 103|a2 X 105|a3 X 108|a4 X 1011|CpIG|Cpliq
275|C8H10|1,3-dimethylbenzene (m-xylene)|108-38-3|50-1000|4.002|17.537|10.590|-15.037|6.008|125.71|188.44
276|C8H10|1,4-dimethylbenzene (p-xylene)|106-42-3|50-1000|4.113|14.909|11.810|- 16.724|6.736|126.02|181.66
277|C8H10O|2-ethylphenol|90-00-6|298-1000|-2.392|82.472|-4.476|-0.434|0.890|151.16|
278|C8H10O|3-ethylphenol|620-17-7|298-1000|- 4.029|90.167|-5.877|0.702|0.546|148.54|
279|C8H10O|4-ethyl-phenol|123-07-9|298-1000|- 3.628|88.368|-5.660|0.616|0.548|148.83|
280|C8H10O|2,3-dimethylphenol (2,3 xylenol)|526-75-0|||||||164.10|
281|C8H10O|2,4-dimethylphenol (2,4 xylenol)|105-67-9|50-1000|3.752|41.738|5.814|-11.112|4.855|156.10|
282|C8H10O|2,5-dimethylphenol (2,5 xylenol)|95-87-4|50-1000|3.008|50.507|2.960|-7.548|3.351|157.09|
283|C8H10O|2,6-dimethylphenol (2,6 xylenol)|576-26-1|50-1000|2.604|51.990|2.683|-7.380|3.340|155.97|
284|C8H10O|3,4-dimethylphenol (3,4 xylenol)|95-65-8|50-1000|1.407|67.846|-1.345|-3.401|1.952|163.52|
285|C8H10O|3,5-dimethylphenol (3,5 xylenol)|108-68-9|50-1000|2.869|43.266|5.901|-11.468|5.053|152.70|
286|C8H16|cyclooctane|292-64-8|50-1000|4.236|13.119|16.313|-21.072|7.987|146.19|215.50
287|C8H16|t-1,4-dimethylcyclohexane|2207-04-7|50-1000|3.902|20.058|15.345|-20.707|7.974|155.19|210.3
288|C8H16|1-octene|111-66-0|200-1000|8.745|13.240|15.096|-20.895|8.366|176.10|241.40
289|C8H16O2|octanoic acid|124-07-02||||||||298
A.43
296|C8Hi8|octane|111-65-9|200-1000|10.824|4.983|17.751|-23.137|8.980|187.78|254.15
297|C8H18|2-methylheptane|592-27-8|200-1000|5.257|41.188|9.739|-15.692|6.570|187.23|251.99
298|C8H18|3-methylheptane|589-81-1|||||||185.80|250.20
299|C8H18|4-methylheptane|589-53-7|200-1000|2.182|62.828|4.419|-10.021|4.358|187.02|251.08
300|C8H18|3-ethylhexane|619-99-8|200-1000|7.178|33.720|10.365|-15.312|6.088|189.62|250.29
301|C8H18|2,2-dimethylhexane|590-73-8|200-1000|3.452|55.222|6.066|-11.271|4.732|188.30|249.20
302|C8H18|2,3-dimethylhexane|584-94-1|200-1000|-3.594|100.983|-4.880|-0.342|0.789|184.10|248.78
303|C8H18|2,4-dimethylhexane|589-43-5|200-1000|-3.372|108.645|-7.267|2.176|-0.103|192.30|250.08
304|C8H18|2,5-dimethylhexane|592-13-2|200-1000|-1.367|87.285|-1.799|-3.343|1.857|185.48|249.20
305|C8H18|3,3-dimethylhexane|563-16-6|200-1000|-2.093|94.480|-2.808|-2.811|1.816|190.87|246.60
306|C8H18|3,4-dimethylhexane|583-48-2|200-1000|-6.148|116.522|-8.351|2.961|-0.344|182.34|246.90
307|C8H18|3-ethyl-2-methylpentane|609-26-7|200-1000|-0.873|95.193|-5.319|1.180|0.000|192.05|248.91
308|C8H18|3-ethyl-3-methylpentane|1067-08-9|200-1000|-1.350|88.584|-1.961|-3.139|1.789|187.99|245.89
309|C8H18|2,2,3-trimethylpentane|564-02-3|200-1000|-4.490|108.022|-6.486|1.441|0.142|185.64|245.39
310|C8H18|2,2,4-trimethylpentane (isooctane)|540-84-1|200-1000|0.384|77.059|0.665|-5.565|2.619|188.41|238.55
311|C8H18|2,3,3-trimethylpentane|560-21-4|200-1000|-5.726|117.939|-8.940|4.012|-0.816|187.02|245.56
312|C8H18|2,3,4-trimethylpentane|565-75-3|||||||191.59|248.61
313|C8H18|2,2,3,3-tetramethylbutane|594-82-1|200-1000|0.768|72.950|1.659|-6.322|2.886|187.19|279.10
314|C8H18O|1-octanol|111-87-5|200-1000|9.193|18.228|16.682|-23.641|9.580|198.60|302.40
316|C8H18O|3-octanol|589-98-0||||||||338.50
317|C8H18O|4-octanol|589-62-8||||||||337.60
321|C9F20|eicosafluorononane|375-96-2|200-1000|3.697|217.163|-27.706|17.697|-4.589|400.11|
322|C9H7N|quinoline|91-22-5||||||||194.90
324|C9H10|indan|496-11-7||||||||190.30
325|C9H12|propylbenzene|103-65-1|50-1000|4.759|23.956|11.859|-17.393|7.064|152.30|214.71
326|C9H12|1-methylethylbenzene (cumene)|98-82-8|50-1000|2.985|34.196|11.938|-20.152|8.923|159.69|213.30
327|C9H12|1-ethyl-4-methylbenzene|622-96-8|50-1000|5.097|17.385|13.600|-19.299|7.817|148.25|210.30
328|C9H12|1,2,3-trimethylbenzene|526-73-8|50-1000|4.042|31.152|10.185|-16.262|6.922|155.07|216.10
329|C9H12|1,2,4-trimethylbenzene|95-63-6|50-1000|5.319|20.074|12.034|-16.873|6.687|149.71|215.00
330|C9H12|1,3,5-trimethylbenzene|108-67-8|50-1000|5.305|20.039|11.606|-16.317|6.503|147.63|209.10
||(mesitylene)|||||||||
331|C9H18|1-nonene|124-11-8|200-1000|9.963|13.704|17.511|-24.203|9.694|198.74|271.20
333|C9H18O2|3-methylbutyl butanoate|106-27-4|||||||221.40|320.40
334|C9H20|nonane|111-84-2|200-1000|12.152|4.575|20.416|-26.777|10.465|210.41|284.45
335|C9H20|2-methyloctane|3221-61-2|200-1000|5.914|47.039|10.387|-16.686|6.852|212.05|271.50
336|C9H20|2,2-dimethylheptane|1071-26-7|||||||211.30|283.40
337|C9H20|2,2,5-trimethylhexane|3522-94-9|200-1000|-0.880|92.152|-0.423|-5.261|2.601|208.11|
338|C9H20|2,2,3,3-tetramethylpentane|7154-79-2|200-1000|-6.019|131.511|-9.916|4.520|-0.934|209.80|284.20
A.44
Section C Ideal Gas and Liquid Heat Capacities. C°/R = a0 + a1T + a2T2 + a3T3 + a4T4.
CpIG and Cpliq at 298.15 K, J mol-1 K-1 (Continued)
No.|Formula|Name|CAS #|Trange, K|a0|a1 X 103|a2 X 105|a3 X 108|a4 X 1011|CpIG|Cpliq
339|C9H20|2,2,3,4-tetramethylpentane|1186-53-4|200-1000|-5.422|123.507|-8.031|2.590|- 0.261|207.30|252.70
340|C9H20|2,2,4,4-tetramethylpentane|1070-87-7|200-1000|3.621|67.875|4.875|- 10.109|4.292|214.94|
341|C9H20|2,3,3,4-tetramethylpentane|16747-38-9|200-1000|-9.189|161.921|- 17.927|12.689|-3.869|218.30|275.70
342|C9H20O|1-nonanol|143-08-8|200-1000|10.350|19.105|19.007|-26.878|10.891|221.20|334.20
344|C10F22|docosafluorodecane|307-45-9|200-1000|4.042|240.657|-30.888|19.907|- 5.219|442.15|
345|C10H8|naphthalene|91-20-3|50-1000|2.889|14.306|15.978|-23.930|10.173|132.55|
351|C10H14|butylbenzene|104-51-8|200-1000|6.490|19.080|15.665|-22.059|8.887|173.86|243.39
352|C10H14|2-methylpropylbenzene|538-93-2|||||||173.90|241.00
||(isobutylbenzene)|||||||||
353|C10H14|1,4-diethylbenzene|105-05-5|298-1000|-0.359|75.371|0.442|-5.736|2.783|176.15|239.10
354|C10H14|1-(1-methylethyl)-4-|99-87-6|||||||173.70|237.70
||methylbenzene ( p-cymene)|||||||||
355|C10H14|1,2,4,5-tetramethylbenzene|95-93-2|298-1000|3.352|67.376|0.527|-4.883|2.290|186.50|
356|C10H18|cis-bicyclo[4.4.0]decane|493-01-6|298-1000|-5.445|80.068|5.065|-11.756|5.088|168.10|232.00
||(cis-decalin)|||||||||
357|C10H18|trans-bicyclo[4.4.0]decane|493-02-7|298-1000|-2.155|53.852|12.610|-20.981|9.066|168.60|228.50
||(trans-decalin)|||||||||
358|C10H20|1-decene|872-05-9|200-1000|11.175|14.222|19.908|-27.488|11.012|221.97|300.3
360|C10H22|decane|124-18-5|200-1000|13.467|4.139|23.127|-30.477|11.970|233.05|314.54
361|C10H22|2,2,5-trimethylheptane|20291-95-6|200-1000|-0.961|100.294|0.237|-6.883|3.357|229.20|306.40
362|C10H22|3,3,5-trimethylheptane|7154-80-5|200-1000|-2.999|118.108|-4.182|-2.362|1.717|232.80|295.30
363|C10H22|2,2,3,3-tetramethylhexane|13475-81-5|200-1000|-7.678|153.766|-12.616|6.171|-1.323|236.82|
364|C10H22|2,2,5,5-tetramethylhexane|1071-81-4|200-1000|0.8|87.376|3.168|-9.35|4.141|228.78|
365|C10H22O|1-decanol|112-30-1|200-1000|11.637|19.130|21.517|- 30.271|12.247|243.80|366.00
367|C11H10|1-methylnaphthalene|90-12-0|298-1000|-5.637|98.625|-4.956|-1.033|1.281|159.30|224.40
368|C11H10|2-methylnaphthalene|91-57-6|298-1000|-4.671|93.882|-4.334|-1.331|1.317|154.60|
369|C11H24|undecane|1120-21-4|||||||255.69|345.05
370|C11H24O|1-undecanol|112-42-5|200-1000|12.923|18.973|24.124|-33.816|13.675|267.24|
371|C12H10|1,1'-biphenyl|92-52-4|200-1000|-0.843|61.392|6.352|-13.754|6.169|165.28|250.95
372|C12H12|1,6-dimethylnaphthalene|575-43-9|298-1000|-4.332|103.947|-4.556|-1.769|1.571|185.10|
373|C12H12|2,7-dimethylnaphthalene|582-16-1|298-1000|-3.288|101.288|-4.748|-1.079|1.219|187.08|
374|C12H18|1,3,5-triethylbenzene|102-25-0|298-1000|1.319|87.791|1.406|-7.682|3.595|224.42|
A.45
376|C12H24|1-dodecene|112-41-4|200-1000|13.617|15.108|24.747|-34.111|13.669|267.38|360.70
377|C12H26|dodecane|112-40-3|200-1000|17.229|-7.242|31.922|-42.322|17.022|278.33|375.47
378|C12H26O|1-dodecanol|112-53-8|200-1000|14.073|19.938|26.412|-36.989|14.951|289.95|
379|C13H12|diphenylmethane|101-81-5||||||||266.10
380|C13H28|tridecane|629-50-5|200-1000|18.546|-7.636|34.604|-45.978|18.509|300.97|406.89
382|C14H10|phenanthrene|85-01-8|50-1000|2.374|38.372|16.471|-26.813|11.640|185.16|
383|C14H10|anthracene|120-12-7|50-1000|2.577|31.826|18.811|-29.722|12.840|182.29|
385|C14H30|tetradecane|629-59-4|200-1000|18.375|6.585|32.307|-42.663|16.590|323.61|438.48
387|C15H32|pentadecane|629-62-9|200-1000|21.180|-8.424|39.969|-53.290|21.482|346.25|469.95
389|C16H34|hexadecane|544-76-3|200-1000|39.747|-206.152|114.814|-155.548|67.534|368.89|501.45
392|C17H36|heptadecane|629-78-7|200-1000|23.813|-9.210|45.333|-60.601|24.455|391.53|534.34
397||octadecane|593-45-3|200-1000|25.130|-9.603|48.015|-64.256|25.942|414.17|564.45
399||nonadecane|629-92-5|200-1000|26.447|-9.998|50.697|-67.912|27.428|436.81|595.94
401|C20H42|eicosane|112-95-8|200-1000|27.764|-10.389|53.379|-71.567|28.914|459.45|627.45
407|ClD|deuterium chloride|7698-05-7|50-1000|3.917|-3.965|1.205|-1.323|0.521|29.17|
408|ClFO3|perchloryl fluoride|7616-94-6|298-1000|0.470|36.338|-4.796|3.147|-0.83|64.93|
410|ClH|hydrogen chloride|7647-01-0|50-1000|3.827|-2.936|0.879|-1.031|0.439|29.17|
413|Cl2|chlorine|7782-50-5|50-1000|3.0560|5.3708|-0.8098|0.5693|-0.15256|29.14|
414|DH|deuterium hydride|13983-20-5|50-1000|3.893|-3.508|1.083|-1.337|0.580|29.20|
415|DI|deuterium iodide|14104-45-1|50-1000|3.741|-2.862|1.000|-1.051|0.382|29.36|
416|D2|deuterium|7782-39-0|50-1000|3.590|-0.462|0.057|0.036|-0.026|29.19|
417|D2|deuterium, normal|800000-54-8|||||||29.20|
418|D2O|deuterium oxide|7789-20-0|50-1000|4.274|-3.465|1.376|-1.482|0.568|34.26|84.35
419|D2S|deuterium sulfide|13536-94-2|50-1000|4.290|-3.944|1.974|-2.268|0.872|36.13|
420|d3n|trideuteroammonia|13550-49-7|50-1000|4.090|-3.243|2.367|-0.264|0.961|38.23|
422|FH|hydrogen fluoride|7664-39-3|50-1000|3.901|-3.708|1.165|-1.465|0.639|29.14|52.00
423|fno2|nitrogen dioxyfluoride|10022-50-1|298-1000|1.620|20.883|-2.512|1.586|-0.420|49.89|
424|F2|Fluorine|7782-41-4|50-1000|3.347|0.467|0.526|-0.794|0.330|31.30|
428|F2O|oxygen difluoride|7783-41-7|50-1000|3.437|5.527|0.502|-1.453|0.735|43.31|
433|F4S|sulfur tetrafluoride|7783-60-0|298-1000|-0.808|51.235|-8.251|6.335|-1.887|72.03|
437|HI|hydrogen iodide|10034-85-2|50-1000|3.648|-1.392|0.389|-0.326|0.110|29.16|
438|H2|hydrogen|1333-74-0|50-1000|2.883|3.681|-0.772|0.692|-0.213|28.84|
439|H2|hydrogen, normal|800000-51-5|||||||28.83|
440|H2O|water|7732-18-5|50-1000|4.395|-4.186|1.405|-1.564|0.632|33.58|75.29
441|H2S|hydrogen sulfide|7783-06-4|50-1000|4.266|-3.438|1.319|-1.331|0.488|34.12|74.68
A.46
Section C Ideal Gas and Liquid Heat Capacities. C°/R = a0 + a1T + a2T2 + a3T3 + a4T4.
CpIG and Cpliq at 298.15 K, J mol-1 K-1 (Continued)
No.|Formula|Name|CAS #|Trange, K|a0|a1 X 103|a2 X 105|a3 X 108|a4 X 1011|CpIG|Cpliq
442|H2S2|dihydrogen disulfide|13465-07-1|50-1000|3.364|8.093|0.636|-1.991|1.048|49.21|92.74
443|H2S3|dihydrogen trisulfide|13845-23-3||||||||123.42
444|H2S4|dihydrogen tetrasulfide|13845-25-5||||||||154.10
445|H2S5|dihydrogen pentasulfide|13845-24-4||||||||184.78
447|H3N|ammonia|7664-41-7|50-1000|4.238|-4.215|2.041|-2.126|0.761|35.65|83
449|H4N2|hydrazine|302-01-2|50-1000|3.627|2.239|2.876|-4.060|1.690|49.12|96.8
450|He|helium|9440-59-7|—|2.500|0.000|0.000|0.000|0.000|20.79|
451|He|helium-3|14762-55-1|—|2.500|0.000|0.000|0.000|0.000|20.79|
452|I2|iodine|7553-56-2|50-1000|3.508|6.303|-1.461|1.470|-0.531|36.88|
453|Kr|krypton|7439-90-9|—|2.500|0.000|0.000|0.000|0.000|20.79|
454|NO|nitrogen monoxide (nitric oxide)|10102-43-9|50-1000|4.534|-7.644|2.066|-2.156|0.806|29.87|
455|N2|nitrogen|7727-37-9|50-1000|3.539|- 0.261|0.007|0.157|-0.099|29.12|
456|N2O|dinitrogen oxide (nitrous oxide)|10024-97-2|50-1000|3.165|3.401|0.989|-1.880|0.890|38.64|
457|N2O4|dinitrogen tetroxide (nitrogen|10544-72-6|50-1000|3.374|27.257|-1.917|-0.616|0.859|81.07|142.2
||dioxide)|||||||||
458|Ne|neon|7440-01-9|—|2.500|0.000|0.000|0.000|0.000|20.79|
459|ot2|tritium oxide|14940-65-9|||||||34.96|
460|O2|oxygen|7782-44-7|50-1000|3.630|-1.794|0.658|-0.601|0.179|29.38|
461|O2S|sulfur dioxide|7446-09-5|50-1000|4.417|-2.234|2.344|- 3.271|1.393|40.05|
462|O3|ozone|10028-15-6|50-1000|4.106|-3.809|3.131|-4.300|1.813|39.60|
463|O3S|sulfur trioxide|7446-11-9|50-1000|3.426|6.479|1.691|-3.356|1.590|50.86|226.8
464|Rn|radon|10043-92-2|—|2.500|0.000|0.000|0.000|0.000|20.79|
465|S|sulfur|7704-34-9|50-1000|2.803|-0.036|0.143|-0.435|0.268|23.67|
467|T2|tritium|10028-17-8|||||||29.20|
468|Xe|xenon|7440-63-3|—|2.500|0.000|0.000|0.000|0.000|20.79|
