ref. https://doi.org/10.1016/j.jct.2011.03.011
No.	Substance	Antoine range		Tc	Pc	ω	Wagner equation constants				Experimental range							R
38	2,2,4,4-Tetramethylpentane	0.51	0.74	574.6	2490	0.314	−7.626	1.8076	−2.3701	−3.9746	0.04	0.26		0.55	6.41	0.7	120.84	b, c
39	2,2,3,4-Tetramethylpentane	0.51	0.73	592.6	2600	0.3135	−7.6245	1.8683	−2.6049	−3.4886	0.03	0.22		0.55	6.41	0.7	126.32	b, c
40	2,2,3,3-Tetramethylpentane	0.5	0.73	607.5	2740	0.3046	−7.6537	2.0073	−2.6004	−3.5466	0.04	0.07		0.54	6.41	0.7	135.88	b, c
41	2,2,5-Trimethylhexane	0.52	0.74	569.8	2330	0.357	−7.5817	1.6716	−3.1731	−3.1559								c, c
42	2,2-Dimethylheptane	0.53	0.75	576.7	2350	0.383	−8.3688	2.6921	−3.3302	−4.6357								b, c
43	2-Methyloctane	0.54	0.76	582.8	2310	0.458	−8.9273	3.2718	−4.0427	−4.7885								b, c
44	Nonane	0.54	0.76	594.6	2290	0.445	−8.1841	1.7459	−3.0138	−5.1937	0.06	0.27		0.58	6.4	0.71	104.01	c, c
45	3-Methylbutylbutaneate	0.55	0.78	619	2330	0.583	−9.418	2.7008	−3.3119	−2.5954		 	 	 	 	 	 	c, c
46	1-Nonene	0.53	0.75	594	2330	0.411	−7.9201	1.6856	−3.3744	−3.6855	0.05	0.94	 	0.57	6.38	0.71	104.02	c, c
47	1,3,5-Trimethylbenzene	0.52	0.73	637.3	3127	0.399	−8.0489	1.9357	−3.0542	−3.1839	0.63	1.92	 	0.56	6.42	0.7	124.78	c, c
48	1,2,4-Trimethylbenzene	0.51	0.73	649.1	3232	0.377	−7.9704	1.9162	−2.7243	−3.6173	0.07	1.55	 	0.55	6.42	0.7	135.67	c, c
49	1,2,3-Trimethylbenzene	0.51	0.72	664.5	3454	0.367	−8.0191	2.1379	−2.8342	−3.5652	0.07	1.9	 	0.55	6.42	0.7	148.36	c, c
50	1-Ethyl-4-methylbenzene	0.51	0.72	640.2	3230	0.364	−8.0698	2.2713	−2.8684	−3.9306	 	 	 	 	 	 	 	c, c
51	1-Methylethylbenzene	0.51	0.72	631	3209	0.326	−7.6694	1.8877	−2.8082	−3.7083	 	 	 	 	 	 	 	c, c
52	Propylbenzene	0.51	0.72	638.35	3200	0.345	−7.8388	2.0067	−2.7547	−3.912	0.07	0.51	 	0.55	6.4	0.7	144.59	c, c
53	Quinoline	0.56	0.65	782	4500	0.315	−8.7382	3.6443	−2.2223	−6.7682	0.02	1.57	 	0.56	15.4	0.65	102.02	c, c
54	Octan-2-ol	0.56	0.76	629.6	2754	0.531	-11.5892	8.8812	−9.8254	−19.8191	 	 	 	 	 	 	 	f, c
55	Octan-1-ol	0.57	0.76	652.5	2777	0.594	−9.3279	4.1937	−8.2325	−13.2681	0.07	5.72	0.08	0.59	5.06	0.73	135.43	f, c
56	2,2,3,3-Tetramethylbutane	0.66	0.72	567.8	2870	0.248	−7.1284	1.5202	−2.3438	−2.9112	 	 	 	 	 	 	 	b, c
57	2,3,4-Trimethylpentane	0.53	0.73	566.4	2730	0.316	−7.6537	1.8992	−2.5975	−3.4777	0.03	0.18	 	0.55	6.36	0.68	103.9	b, c
58	2,3,3-Trimethylpentane	0.5	0.72	573.5	2820	0.291	−7.4817	1.7094	−2.2005	−3.5011	 	 	 	 	 	 	 	b, c
59	2,2,4-Trimethylpentane	0.51	0.73	543.8	2570	0.304	−7.6317	1.9548	−2.5788	−3.4153	0.04	0.41	 	0.55	6.37	0.69	103.91	b, c
60	2,2,3-Trimethylpentane	0.5	0.73	563.5	2730	0.298	−7.6001	2.0088	−2.7084	−3.2629	 	 	 	 	 	 	 	b, c
61	3-Ethyl-3-methylpentane	0.5	0.73	576.5	2810	0.305	−7.6678	2.0003	−2.5136	−3.3965	 	 	 	 	 	 	 	b, c
62	3-Ethyl-2-methylpentane	0.51	0.73	567.1	2700	0.331	−7.6749	1.7879	−2.5393	−3.9534	 	 	 	 	 	 	 	b, c
63	3,4-Dimethylhexane	0.51	0.73	568.8	2690	0.338	−7.5767	1.4034	−2.1101	−4.5104	 	 	 	 	 	 	 	b, c
64	3,3-Dimethylhexane	0.51	0.73	562	2650	0.32	−7.4778	1.3604	−1.9837	−4.316	 	 	 	 	 	 	 	b, c
65	2,5-Dimethylhexane	0.52	0.74	550	2490	0.357	−7.8116	1.8078	−2.6437	−4.3806	 	 	 	 	 	 	 	b, c
66	2,4-Dimethylhexane	0.52	0.74	553.5	2560	0.344	−7.7684	1.8759	−2.7129	−4.1078	 	 	 	 	 	 	 	b, c
67	2,3-Dimethylhexane	0.51	0.74	563.5	2630	0.347	−7.664	1.5143	−2.2095	−4.6695	 	 	 	 	 	 	 	b, c
68	2,2-Dimethylhexane	0.51	0.74	549.8	2530	0.339	−7.8938	2.3122	−3.2639	−3.4451	 	 	 	 	 	 	 	b, c
69	3-Ethylhexane	0.52	0.74	565.5	2610	0.362	−7.9445	2.1258	−3.0525	−4.0199	 	 	 	 	 	 	 	b, c
70	4-Methylheptane	0.52	0.74	561.7	2540	0.371	−7.7007	1.3516	−2.2232	−4.9729	 	 	 	 	 	 	 	b, c
71	3-Methylheptane	0.54	0.74	563.6	2550	0.371	−7.9149	1.9373	−2.9303	−4.0949	0.04	0.07	 	0.56	6.37	0.7	103.91	b, c
72	2-Methylheptane	0.54	0.75	559.6	2500	0.378	−7.9964	2.0311	−3.0801	−3.7363	0.05	0.65	 	0.56	6.38	0.7	103.9	b, c
73	Octane	0.53	0.75	568.7	2490	0.399	−8.1244	2.172	−3.3591	−3.937	0.04	0.21	 	0.57	7.67	0.7	103.9	c, c
74	1-Octene	0.52	0.74	567	2680	0.393	−8.2975	2.498	−3.1719	−4.0737	0.05	2.09	 	0.56	6.38	0.7	104.02	c, c
75	Cyclooctane	0.49	0.7	647.2	3560	0.254	−7.251	1.7163	−2.3844	−3.5491	0.07	1.1	 	0.57	19.92	0.72	270.11	b, c
76	3,5-Dimethylphenol	0.54	0.73	715.6	4130	0.544	−9.6098	4.1329	−5.4198	−7.5837	0.03	1.4	 	0.6	12.98	0.69	105.57	c, c
77	3,4-Dimethylphenol	0.53	0.73	729.8	4280	0.512	−9.3667	4.0109	−5.4333	−7.6074	0.02	0.79	 	0.61	20.34	0.69	106.37	c, c
78	2,6-Dimethylphenol	0.52	0.72	701	4630	0.489	−9.8699	4.5661	−3.4671	−7.316	0.05	5.72	 	0.6	19.81	0.68	107.74	c, c
79	2,5-Dimethylphenol	0.53	0.73	706.9	4280	0.514	−9.9163	4.8519	−4.9008	−8.6376	0.04	3.17	 	0.59	12.99	0.69	102.87	c, c
80	2,4-Dimethylphenol	0.53	0.73	707.6	4280	0.506	−9.6061	4.3293	−4.8288	−7.8112	0.04	2.3	 	0.59	13.19	0.69	104.93	c, c
81	2,3-Dimethylphenol	0.52	0.72	722.8	4630	0.496	−9.9418	5.0586	−4.8369	−8.553	0.09	3.81	 	0.58	13.3	0.68	105.4	c, c
82	4-Ethylphenol	0.53	0.73	716.4	4050	0.491	−9.1606	3.9266	−5.6939	−8.0246	 	 	 	 	 	 	 	c, c
83	3-Ethylphenol	0.53	0.72	718.8	4150	0.489	−8.3219	1.5488	−2.6449	−11.1117	 	 	 	 	 	 	 	c, c
84	2-Ethylphenol	0.52	0.72	703	4300	0.475	−9.3767	4.1243	−4.5197	−7.8992	 	 	 	 	 	 	 	c, c
85	1,4-Dimethylbenzene	0.5	0.71	616.2	3511	0.322	−7.7388	1.9832	−2.5474	−3.4622	0.1	1.26	0.05	0.54	6.35	0.67	103.91	c, c
86	1,3-Dimethylbenzene	0.5	0.71	617	3541	0.327	−7.7473	1.9561	−2.5915	−3.1896	0.3	1.11	0.59	0.54	6.36	0.67	103.91	c, c
87	1,2-Dimethylbenzene	0.5	0.71	630.3	3732	0.312	−7.7098	2.0209	−2.5279	−3.673	0.07	0.79	0.04	0.53	6.35	0.66	103.91	c, c
88	Ethylbenzene	0.5	0.71	617.15	3609	0.304	−7.6385	1.9917	−2.5909	−3.679	0.11	0.09	0.05	0.53	6.36	0.66	103.9	c, c
89	Heptan-1-ol	0.53	0.71	632.6	3058	0.588	−9.7086	5.1535	−8.7474	−14.232	0.71	16.52	0.51	0.53	0.63	0.71	101.43	f, c
90	2,2,3-Trimethylbutane	0.49	0.71	531.1	2950	0.25	−7.276	1.7007	−2.1062	−3.2044	0.07	0.71	 	0.54	7.69	0.67	104	b, c
91	3,3-Dimethylpentane	0.49	0.72	536.3	2950	0.269	−7.418	1.8216	−2.2554	−3.1736	0.07	0.16	 	0.53	6.41	0.67	104.01	b, c
92	2,4-Dimethylpentane	0.5	0.73	519.7	2740	0.304	−7.6408	2.0435	−2.7711	−3.3345	0.08	0.34	 	0.55	7.7	0.68	104.01	b, c
93	2,3-Dimethylpentane	0.52	0.72	537.3	2910	0.297	−7.5137	1.7573	−2.3577	−3.4894	0.08	0.11	 	0.54	6.41	0.68	104.01	b, c
94	2,2-Dimethylpentane	0.5	0.72	520.4	2770	0.287	−7.4761	1.812	−2.4611	−3.343	0.08	0.68	 	0.55	8.97	0.68	103.9	b, c
95	3-Ethylpentane	0.5	0.72	540.5	2890	0.311	−7.5444	1.7183	−2.4957	−3.5252	0.08	0.55	 	0.54	6.41	0.68	104.01	b, c
96	3-Methylhexane	0.51	0.73	535.2	2810	0.323	−7.5818	1.5984	−2.2461	−4.1395	0.02	0.07	 	0.55	6.41	0.68	104.01	b, c
97	2-Methylhexane	0.51	0.73	530.4	2730	0.331	−7.7257	1.9656	−2.8049	−3.5155	0.08	0.57	 	0.56	7.7	0.69	104.01	b, c
98	Heptane	0.51	0.73	540.2	2740	0.35	−7.7664	1.7873	−2.6247	−4.1286	0.11	0.05	 	0.55	6.37	0.69	103.91	c, c
99	1-Heptene	0.51	0.73	537.3	2920	0.343	−7.98	2.2827	−2.7795	−3.8512	0.06	1.41	 	0.55	6.38	0.68	104	c, c
100	T-1,3-Dimethylcyclopentane	0.49	0.7	553	3400	0.253	−7.3331	1.8006	−2.1591	−3.5773	0.09	0.84	 	0.53	6.41	0.66	103.99	c, c
101	C-1,3-Dimethylcyclopentane	0.49	0.71	551	3400	0.276	−7.5588	2.0195	−2.2872	−3.346	0.25	0.91	 	0.54	9.01	0.66	104.02	c, c
102	Ethylcyclopentane	0.49	0.71	569.5	3397	0.27	−7.3921	1.7778	−2.3083	−3.3503	0.08	0.9	 	0.54	7.7	0.66	103.99	c, c
103	Methylcyclohexane	0.48	0.7	572.19	3471	0.235	−7.1532	1.6205	−2.1192	−2.9086	0.04	1.76	 	0.52	6.35	0.66	103.92	c, c
104	Cycloheptane	0.48	0.69	604.2	3820	0.242	−7.3204	1.9224	−2.2364	−3.6799	0.05	0.32	 	0.56	19.92	0.72	270.11	b, c
105	3,5-Dimethylpyridine	0.5	0.71	667.7	4050	0.351	−8.0548	2.0748	−2.4023	−4.3355	0.01	3.8	 	0.65	79.93	0.67	103.46	m, c
106	3,4-Dimethylpyridine	0.5	0.7	683.7	4200	0.337	−8.0305	2.3087	−2.7395	−3.9955	0	2.77	 	0.65	86.88	0.66	104.46	m, c
107	2,6-Dimethylpyridine	0.56	0.67	624	3850	0.373	−7.9062	2.009	−2.8484	−3.7445	0.02	5.05	 	0.56	11.61	0.67	102.02	m, c
108	2,5-Dimethylpyridine	0.5	0.71	644.3	3850	0.369	−7.8902	2.0386	−2.8796	−3.2814	0.02	6.19	 	0.56	9.57	0.67	102.11	m, c
109	2,4-Dimethylpyridine	0.5	0.71	647	3950	0.351	−7.9804	2.1213	−2.7803	−3.7786	0.03	2.03	 	0.65	81.62	0.67	105.18	m, c
110	2,3-Dimethylpyridine	0.5	0.71	655.5	4100	0.345	−7.9192	2.1573	−2.7978	−3.9191	0.02	0.22	 	0.65	86.77	0.66	104.7	m, c
111	4-Methylphenol	0.52	0.71	704.6	4070	0.51	−7.9392	2.4476	−5.588	−5.733	0.21	24.55	 	0.57	8.85	0.67	101.33	h, c
112	3-Methylphenol	0.52	0.71	705.8	4360	0.452	−8.3265	2.781	−5.1133	−6.0683	0.27	3	 	0.6	20.27	0.67	101.33	h, c
113	2-Methylphenol	0.51	0.71	697.6	4170	0.436	−7.5582	1.9242	−4.5816	−4.7225	0.29	18.31	 	0.56	10.11	0.67	101.33	h, c
114	Toluene	0.48	0.69	591.75	4108	0.264	−7.4183	1.8401	−2.1458	−3.7081	0.12	0.56	 	0.52	6.36	0.65	103.9	n, o
115	4-Methyl-pentan-2-ol	0.55	0.74	574.4	3310	0.552	−7.6895	0.0969	−4.2161	−1.6261	 	 	 	 	 	 	 	f, c
116	4-Methyl-pentan-1-ol	0.56	0.74	603.5	3630	0.588	−9.4415	4.5062	−9.0665	−8.4752	 	 	 	 	 	 	 	f, c
117	2-Methyl-pentan-1-ol	0.49	0.7	604	3450	0.498	1.4846	−21.9412	15.3182	−7.4017	 	 	 	 	 	 	 	f, c
118	Hexan-3-ol	0.51	0.71	582.4	3360	0.539	−5.9222	−3.7038	−2.5683	10.5511	 	 	 	 	 	 	 	f, c
119	Hexan-2-ol	0.55	0.74	585.9	3380	0.562	−5.9198	−3.6249	−3.0874	1.1604	 	 	 	 	 	 	 	f, c
120	Hexan-1-ol	0.56	0.74	610.3	3417	0.573	−5.0711	−6.9651	3.672	−19.9505	0.5	22.4	0.61	0.53	0.76	0.71	101.33	f, c
121	2,3-Dimethylbutane	0.49	0.71	499.9	3130	0.248	−7.3242	1.8355	−2.1988	−3.1178	0.11	0.42	 	0.57	19.92	0.66	103.91	b, c
122	2,2-Dimethylbutane	0.49	0.71	488.7	3080	0.233	−7.2378	1.7747	−2.0276	−3.2155	0.47	1.43	 	0.59	28.95	0.66	103.99	b, c
123	3-Methylpentane	0.49	0.71	504.4	3120	0.273	−7.3786	1.6921	−2.1931	−3.1533	0.11	0.16	 	0.57	16.62	0.67	103.91	b, c
124	2-Methylpentane	0.5	0.72	497.7	3040	0.278	−7.4238	1.7005	−2.1889	−3.3579	0.08	0.96	 	0.57	16.62	0.67	103.91	b, c
125	Hexane	0.5	0.72	507.6	3025	0.299	−7.5791	1.9097	−2.572	−3.3515	0.08	0.53	 	0.56	11.7	0.68	103.91	c, c
126	Butylethaneate	0.57	0.69	575.6	3140	0.407	−8.348	2.1042	−3.2977	−3.641	0.07	12.3	 	0.58	9.21	0.69	101.33	h, c
127	Propylpropaneate	0.45	0.69	570	3060	0.373	−7.9414	1.3614	−3.1996	−1.4069	0.48	31.25	 	0.49	0.67	0.69	101.33	h, c
128	4-Methyl-2-Pentanone	0.51	0.72	574.6	3270	0.351	−8.7698	3.8131	−3.4878	−7.3424	0.86	2.38	1.02	0.51	2.2	0.68	101.33	c, c
129	3-Hexanone	0.51	0.72	583	3320	0.38	−8.3161	3.0862	−4.6009	−2.0302	0.13	0.73	 	0.6	20.42	0.7	133.3	h, c
130	2-Hexanone	0.52	0.73	587.1	3300	0.393	−8.1499	2.2753	−3.2364	−4.0751	 	 	 	 	 	 	 	h, c
131	4-Methyl-pent-1-ene	0.49	0.71	495	3290	0.257	−7.4578	1.99	−2.1948	−3.2319	 	 	 	 	 	 	 	c, c
132	1-Hexene	0.5	0.71	504	3210	0.281	−7.6342	2.042	−2.3427	−3.7095	0.02	2.5	 	0.57	16.65	0.67	104	p, c
133	Methylcyclopentane	0.48	0.69	532.79	3784	0.2267	−6.9138	1.2721	−2.2618	−1.1054	0.12	2.72	 	0.54	11.7	0.65	103.92	c, c
134	Cyclohexane	0.51	0.68	553.5	4073	0.213	−7.0484	1.5676	−1.7388	−3.9855	0.08	1.39	 	0.53	10.3	0.64	103.92	c, c
135	3-Methylpyridine	0.49	0.69	644.6	4650	0.279	−7.5926	1.9025	−2.4194	−3.5158	0.09	7.65	 	0.54	9.58	0.71	270.11	m, c
136	2-Methylpyridine	0.49	0.69	621	4620	0.299	−7.6602	2.0233	−2.4758	−3.8968	0.17	0.68	 	0.57	19.92	0.71	270.11	m, c
137	Benzenamine	0.43	0.65	699	5310	0.38	−7.9569	2.0144	−3.2607	−3.4132	 	 	 	 	 	 	 	c, c
138	Phenol	0.51	0.69	694.25	6130	0.442	−9.9797	6.3299	−7.3584	−3.6421	0.5	2.43	 	0.55	7.6	0.66	101.33	c, c
139	Benzene	0.5	0.67	562.05	4895	0.21	−7.1141	1.8009	−2.0559	−3.8606	0.19	3.41	 	0.51	7.65	0.63	103.9	c, c
140	Chlorobenzene	0.48	0.68	633	4530	0.251	−7.4126	1.9501	−2.0041	−4.182	0.11	1.19	 	0.53	9.66	0.64	101.36	d, c
141	3-Methyl-1-Butanethiol	0.48	0.69	604	3500	0.191	−6.2146	0.4775	−2.6915	−2.0767	0.14	13.53	 	0.54	9.58	0.71	270.11	c, c
142	Ethylpropylether	0.59	0.67	500.2	3370	0.328	−7.8199	1.9932	−2.525	−3.1818	0.03	0.84	 	0.59	19.71	0.67	101.33	h, c
143	3-Methyl-1-Butanol	0.56	0.74	577.2	3930	0.559	−11.0972	9.5539	−15.9034	−3.4517	 	 	 	 	 	 	 	f, c
144	2-Methyl-2-Butanol	0.55	0.67	543.7	3710	0.478	−7.9511	2.9779	−9.7866	−1.9889	0.14	34.35	 	0.55	2.23	0.67	67.39	f, c
145	2-Methyl-1-Butanol	0.52	0.68	575.4	3940	0.605	−10.9128	8.0672	−12.9639	−3.4789	0.52	21.84	 	0.52	0.41	0.68	70.97	f, c
146	2-Pentanol	0.53	0.68	560.3	3675	0.561	−9.8227	6.2905	−12.2241	−2.9633	0.3	28.33	 	0.53	0.8	0.68	73.35	f, c
147	1-Pentanol	0.55	0.74	588.1	3897	0.579	−9.1344	4.3813	−10.4446	−2.4536	0.16	6.31	0.05	0.59	7.18	0.73	177.16	f, c
148	2,2-Dimethylpropane	0.6	0.7	433.75	3199	0.197	−7.0045	1.661	−1.8737	−3.2938	 	 	 	 	 	 	 	b, c
149	2-MethylButane	0.48	0.7	460.35	3381	0.2296	−7.3263	2.0604	−2.312	−2.7467	0.19	0.42	 	0.47	1.46	0.66	103.92	b, c
150	Pentane	0.49	0.7	469.7	3370	0.252	−7.2752	1.7311	−2.2584	−2.6334	0.34	0.31	 	0.61	43.32	0.66	103.9	c, c
151	2-methylpropylmethaneate	0.52	0.72	551	3880	0.4	−9.0281	3.8511	−3.3163	−7.1692	 	 	 	 	 	 	 	h, c
152	Propylethaneato	0.52	0.73	549.7	3360	0.389	−8.2757	2.6582	−3.6813	−5.4726	0.15	1.1	 	0.57	9.2	0.68	101.33	h, c
153	Ethylpropaneato	0.52	0.72	546.7	3450	0.39	−8.1886	2.3613	−3.4411	−4.6092	0.11	2.12	 	0.56	7.84	0.68	101.33	h, c
154	MethylButaneato	0.51	0.72	554.5	3470	0.381	−8.0311	2.1557	−3.1434	−5.114	 	 	 	 	 	 	 	h, c
155	2-Methyltetrahydrofurane	0.49	0.7	537	3760	0.292	−7.9347	2.5758	−2.3005	−4.8553	 	 	 	 	 	 	 	c, c
156	3-Pentanone	0.5	0.71	561.4	3729	0.342	−6.3498	−1.6606	0.4847	−3.9927	0.18	0.93	 	0.59	20.44	0.68	133.25	h, c
157	2-Pentanone	0.5	0.71	561.1	3683	0.346	−7.7752	1.9245	−2.9091	−3.3195	0.1	0.16	 	0.59	20.44	0.69	133.29	h, c
158	3-Methyl-1-butene	0.48	0.71	452.7	3530	0.211	−6.8561	1.0995	−1.3047	−3.3431	0.02	0.1	 	0.6	47.36	0.72	270.1	p, c
159	2-Methyl-2-butene	0.49	0.71	470	3420	0.286	−7.6837	2.222	−2.6065	−1.9109	0.19	1.55	 	0.56	12.05	0.73	270.23	p, c
160	Z-2-Pentene	0.48	0.7	475	3690	0.253	−7.4172	1.9331	−2.0775	−3.8447	0.04	0.22	 	0.58	25.01	0.72	270.06	c, c
161	1-Pentene	0.48	0.7	464.8	3560	0.237	−7.3571	2.0484	−2.3568	−2.6546	0.06	0.07	 	0.62	53.7	0.65	103.99	c, c
162	Cyclopentane	0.47	0.67	511.6	4508	0.2	−6.9276	1.5459	−1.931	−2.3415	0.16	0.39	 	0.44	0.83	0.63	103.92	c, c
163	Pentine	0.5	0.71	470	4170	0.394	−9.4052	4.1752	−1.8888	−6.6882	 	 	 	 	 	 	 	c, c
164	2-Methylfurane	0.48	0.68	528	4700	0.278	−8.5368	3.8705	−2.1602	−8.2206	1.42	3.33	 	0.63	86.13	0.71	283.98	h, c
165	Pyridine	0.47	0.67	620	5650	0.242	−7.2195	1.715	−2.1913	−3.6112	0.06	1.4	 	0.55	19.92	0.69	270.11	m, c
166	1-Butanamine	0.5	0.7	531.9	4200	0.337	−7.088	1.0869	−3.2431	−2.1171	 	 	 	 	 	 	 	m, c
167	Diethylsulfide	0.49	0.7	557.8	3900	0.295	−7.5899	2.0855	−2.4966	−3.8189	 	 	 	 	 	 	 	q, c
168	Diethylether	0.54	0.7	466.7	3644	0.281	−7.2345	1.3929	−2.3906	−2.2878	0.56	2.7	0.46	0.46	0.53	0.63	58.36	h, c
169	2-Methyl-2-propanol	0.56	0.74	506.2	3972	0.613	−8.6132	2.7945	−9.5223	−2.777	0.09	2.19	0.01	0.66	40.06	0.72	133.51	f, c
170	2-Methyl-1-propanol	0.64	0.71	547.8	4295	0.59	−8.3126	2.1657	−8.5538	−0.7997	0.01	2.32	0.01	0.65	33.06	0.71	133.29	f, c
171	1-Butanol	0.55	0.73	563	4414	0.59	−8.6861	3.0187	−9.1213	−0.7877	0.21	2.14	0.02	0.64	33.05	0.71	133.32	f, c
172	2-Methylpropane	0.46	0.64	407.81	3629	0.184	−6.9348	1.6233	−1.8037	−2.3921	0.04	1.25	 	0.46	1.52	0.64	101.78	a, a
173	Butane	0.47	0.69	425.13	3796	0.201	−7.0533	1.6098	−1.5678	−3.2572	0.2	0.22	 	0.46	1.32	0.64	101.92	a, a
